* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
1140.350359	61.466165
1156.937137	61.572656
1173.765175	61.712298
1190.837983	61.818209
1208.159120	61.957877
1225.732199	62.042524
1243.560885	62.177044
1261.648894	62.309221
1280.000000	62.448859
1298.618029	62.554735
1317.506863	62.641647
1336.670442	62.762744
1356.112761	62.906161
1375.837875	63.011955
1395.849898	63.114549
1416.153002	63.184754
1436.751422	63.262000
1457.649452	63.367887
1478.851452	63.441963
1500.361842	63.578234
1522.185107	63.615663
1544.325799	63.663840
1566.788535	63.795862
1589.577999	63.901715
1612.698944	63.998397
1636.156190	64.058527
1659.954630	64.119531
1684.099226	64.291377
1708.595013	64.397298
1733.447100	64.503116
1758.660669	64.592259
1784.240977	64.700071
1810.193360	64.888283
1836.523229	65.055984
1863.236074	65.200165
1890.337467	65.307085
1917.833058	65.488473
1945.728583	65.700197
1974.029857	65.911926
2002.742782	66.092923
2031.873347	66.270339
2061.427625	66.540242
2091.411780	66.761023
2121.832065	66.989239
2152.694823	67.202491
2184.006490	67.490810
2215.773596	67.731169
2248.002765	67.890064
2280.700718	68.164402
2313.874274	68.376151
2347.530351	68.618020
2381.675966	68.732025
2416.318240	68.943749
2451.464399	69.155479
2487.121769	69.349822
2523.297789	69.476685
2560.000000	69.625010
2597.236057	69.764659
2635.013726	69.870579
2673.340883	69.961474
2712.225522	70.032007
2751.675750	70.093953
2791.699796	70.139793
2832.306004	70.160700
2873.502844	70.181911
2915.298905	70.201928
2957.702904	70.178708
3000.723683	70.155151
3044.370214	70.123799
3088.651599	70.046018
3133.577071	69.960444
3179.155999	69.889757
3225.397888	69.762213
3272.312380	69.588726
3319.909260	69.438677
3368.198452	69.309698
3417.190027	69.150352
3466.894200	68.938614
3517.321337	68.726870
3568.481954	68.537310
3620.386720	68.303400
3673.046457	68.024113
3726.472148	67.744821
3780.674934	67.589730
3835.666117	67.321356
3891.457165	67.042047
3948.059713	66.768709
4005.485564	66.615503
4063.746693	66.339278
4122.855250	66.059989
4182.823560	65.897372
4243.664130	65.732517
4305.389646	65.492358
4368.012981	65.309292
4431.547192	65.163306
4496.005531	65.036240
4561.401437	64.848129
4627.748549	64.703971
4695.060701	64.559809
4763.351932	64.431755
4832.636481	64.339035
4902.928797	64.158310
4974.243539	64.018660
5046.595577	63.846444
5120.000000	63.762044
5194.472115	63.618223
5270.027452	63.474057
5346.681766	63.286621
5424.451043	63.147107
5503.351500	63.041037
5583.399591	62.867676
5664.612008	62.728022
5747.005687	62.588365
5830.597810	62.499849
5915.405808	62.388304
6001.447367	62.257156
6088.740429	62.186574
6177.303198	62.094296
6267.154142	62.077006
6358.311998	62.059465
6450.795775	62.041668
6544.624761	62.030002
6639.818520	62.045964
6736.396904	62.062158
6834.380053	62.078588
6933.788400	62.096247
7034.642675	62.138435
7136.963909	62.173732
7240.773439	62.200070
7346.092914	62.226792
7452.944296	62.203042
7561.349867	62.172676
7671.332234	62.115886
7782.914330	62.014027
7896.119426	61.847357
8010.971128	61.725712
8127.493386	61.446411
8245.710500	61.167104
8365.647121	60.887792
8487.328260	60.541274
8610.779292	60.185410
8736.025961	59.761970
8863.094385	59.338520
8992.011061	58.915058
9122.802874	58.491586
9255.497097	58.068102
9390.121402	57.644607
9526.703863	57.153573
9665.272962	56.743448
9805.857594	56.306694
9948.487077	55.919451
10093.191154	55.527338
10240.000000	55.103860
10388.944230	54.680370
10540.054903	54.189302
10693.363532	53.689350
10848.902086	53.121758
11006.703001	52.581144
11166.799182	52.126139
11329.224017	51.734210
11494.011375	51.473152
11661.195620	51.386395
11830.811616	51.375305
12002.894734	51.500104
12177.480858	51.711724
12354.606395	52.090354
12534.308283	52.446254
12716.623996	52.802165
12901.591551	53.158088
13089.249521	53.514019
13279.637040	53.793048
13472.793808	54.004768
13668.760107	54.216494
13867.576801	54.402130
14069.285350	54.462235
14273.927818	54.523215
14481.546879	54.576554
14692.185828	54.629454
14905.888592	54.668264
15122.699734	54.684271
15342.664467	54.700512
15565.828661	54.716988
15792.238852	54.721599
16021.942256	54.686910
16254.986772	54.651716
16491.420999	54.616010
16731.294241	54.551572
16974.656520	54.378117
17221.558584	54.183472
17472.051922	53.978765
17726.188769	53.729067
17984.022122	53.318422
18245.605748	52.967752
18510.994194	52.695556
18780.242805	52.324447
19053.407727	51.954069
19330.545924	51.950262
19611.715189	52.021222
19896.974155	52.027027
20186.382308	52.027027
