* Measurement data measured by REW V5.31.3
* Source: /Users/klydeanzai/Downloads/Banzai Preference.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 15, 2024 3:34:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/klydeanzai/Downloads/Banzai Preference.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* Measurement: Banzai Preference
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1825.000000	2.268
1850.000000	2.400
1875.000000	2.531
1900.000000	2.659
1925.000000	2.784
1950.000000	2.907
1975.000000	3.026
2000.000000	3.142
2030.000000	3.277
2060.000000	3.407
2090.000000	3.532
2120.000000	3.652
2140.000000	3.729
2180.000000	3.877
2200.000000	3.948
2240.000000	4.084
2270.000000	4.181
2300.000000	4.275
2330.000000	4.364
2360.000000	4.450
2400.000000	4.560
2430.000000	4.638
2470.000000	4.739
2500.000000	4.811
2540.000000	4.904
2580.000000	4.992
2620.000000	5.077
2650.000000	5.137
2690.000000	5.214
2720.000000	5.270
2760.000000	5.340
2800.000000	5.405
2850.000000	5.482
2900.000000	5.551
2950.000000	5.614
3000.000000	5.669
3040.000000	5.708
3070.000000	5.735
3110.000000	5.766
3150.000000	5.792
3200.000000	5.819
3250.000000	5.839
3300.000000	5.852
3350.000000	5.859
3400.000000	5.859
3450.000000	5.853
3500.000000	5.841
3550.000000	5.824
3600.000000	5.802
3650.000000	5.775
3700.000000	5.744
3750.000000	5.708
3820.000000	5.652
3870.000000	5.608
3950.000000	5.531
4000.000000	5.480
4060.000000	5.416
4120.000000	5.348
4180.000000	5.279
4250.000000	5.195
4310.000000	5.122
4370.000000	5.047
4440.000000	4.959
4500.000000	4.883
4550.000000	4.819
4620.000000	4.729
4680.000000	4.653
4750.000000	4.563
4820.000000	4.474
4870.000000	4.411
4940.000000	4.324
5000.000000	4.250
5080.000000	4.152
5150.000000	4.068
5220.000000	3.985
5300.000000	3.892
5380.000000	3.800
5450.000000	3.722
5520.000000	3.645
5600.000000	3.559
5700.000000	3.454
5800.000000	3.353
5900.000000	3.254
6000.000000	3.159
6080.000000	3.085
6150.000000	3.021
6220.000000	2.959
6300.000000	2.890
6400.000000	2.806
6500.000000	2.725
6600.000000	2.647
6700.000000	2.571
6800.000000	2.497
6900.000000	2.427
7000.000000	2.358
7100.000000	2.291
7200.000000	2.227
7300.000000	2.165
7400.000000	2.105
7500.000000	2.047
7620.000000	1.979
7750.000000	1.909
7880.000000	1.842
8000.000000	1.782
8120.000000	1.725
8250.000000	1.665
8380.000000	1.607
8500.000000	1.556
8620.000000	1.507
8750.000000	1.456
8850.000000	1.418
9000.000000	1.363
9120.000000	1.320
9250.000000	1.276
9380.000000	1.233
9500.000000	1.196
9620.000000	1.159
9750.000000	1.121
9880.000000	1.084
10000.000000	1.051
10150.000000	1.011
10300.000000	0.973
10440.000000	0.939
10600.000000	0.902
10750.000000	0.868
10900.000000	0.835
11060.000000	0.802
11200.000000	0.774
11380.000000	0.740
11500.000000	0.718
11720.000000	0.679
11800.000000	0.665
12060.000000	0.623
12200.000000	0.601
12410.000000	0.570
12500.000000	0.557
12650.000000	0.536
12800.000000	0.516
13150.000000	0.471
13200.000000	0.465
13400.000000	0.442
13600.000000	0.419
13800.000000	0.398
14000.000000	0.377
14300.000000	0.348
14500.000000	0.330
14750.000000	0.308
15000.000000	0.287
15250.000000	0.268
15500.000000	0.249
15750.000000	0.232
16000.000000	0.215
16250.000000	0.200
16500.000000	0.185
16750.000000	0.171
17000.000000	0.158
17250.000000	0.145
17500.000000	0.133
17750.000000	0.122
18000.000000	0.111
18250.000000	0.102
18500.000000	0.092
18750.000000	0.083
19000.000000	0.075
19250.000000	0.067
19500.000000	0.060
19750.000000	0.053
20000.000000	0.047
